x,y,age,gender
12.67759,12.0546,5,0
15.9603,9.162499,3,1
11.03126,11.87971,5,0
14.08877,9.337553,1,0
11.0271,11.74557,5,0
14.54157,8.684826,4,0
15.55098,11.28022,5,1
9.579331,11.78081,2,1
15.46573,11.09663,3,0
14.44191,12.15951,1,0
11.38291,9.910148,0,0
13.74064,11.31248,2,0
11.39099,11.03369,0,0
16.01572,9.072348,5,0
9.921976,11.86345,5,0
10.80179,9.687121,1,0
12.6326,11.62268,5,0
9.262066,10.66323,4,1
13.78464,13.81561,0,1
13.75736,13.79555,3,1
14.70788,9.969954,5,0
15.29153,10.04976,4,0
14.14686,12.42262,4,1
13.76823,10.09442,5,0
10.9726,11.34485,1,1
12.36505,10.48427,5,1
14.81631,10.04214,4,0
15.04986,13.61393,4,0
15.36158,13.45471,5,0
12.793,14.31211,0,0
11.324,9.79492,0,0
10.45107,11.77685,0,1
11.01349,11.211,0,1
13.38261,9.455654,1,1
10.33884,11.39608,5,1
9.610787,11.80735,4,0
14.54691,12.2733,5,0
11.45123,11.4183,0,1
12.74049,10.73864,0,1
14.95969,11.96889,5,0
12.31692,14.83151,3,1
12.88335,10.78442,1,0
15.2704,9.139883,2,0
15.77505,9.566566,1,0
13.06382,13.85009,4,1
12.92922,11.70606,2,1
15.28385,12.10795,1,1
13.01865,11.78975,0,1
12.45943,11.2489,0,1
15.76892,12.95444,1,1
14.03004,13.35564,0,1
12.98116,14.37319,5,1
13.8822,14.63515,5,1
10.93752,9.725004,5,0
16.02412,14.00992,0,0
15.09569,10.09361,0,1
13.46457,12.56776,0,1
11.58543,12.29345,2,0
10.69892,12.00221,5,0
16.8394,11.6017,5,1
13.90569,14.60172,1,1
13.70339,11.11278,0,1
13.28895,9.631591,0,1
15.6604,12.3693,3,1
15.46487,11.2269,3,0
10.99125,11.19733,3,1
15.50104,11.11599,5,1
11.70601,9.637946,0,1
12.35546,11.44285,5,1
11.12872,11.52963,4,1
9.595812,10.9393,0,0
8.325407,7.166975,5,1
14.00061,13.33951,0,0
13.24529,12.99792,3,0
15.28504,9.337882,3,0
15.4973,11.24314,4,0
15.38694,7.330029,5,1
16.05814,14.31984,5,1
12.3847,13.69473,0,1
12.18887,11.78904,1,0
15.12332,11.68831,0,0
13.95376,12.86237,4,0
9.618408,10.91289,5,0
16.29265,14.33811,4,0
12.64394,10.64805,2,1
10.49377,12.87479,3,1
13.97831,12.83293,4,1
15.52151,11.26509,1,0
10.96399,11.18275,3,0
13.29801,12.91595,0,1
13.91508,13.56587,0,0
13.31653,9.643641,5,1
12.74707,10.7125,0,1
15.44155,11.208,4,0
15.69372,13.87902,1,0
13.83759,11.05554,0,1
11.67728,10.47627,1,0
16.07268,14.29056,4,1
12.59532,10.98533,4,0
15.35726,11.29407,2,0
16.284,14.36028,2,1
12.50162,12.06644,3,1
15.65,12.90427,1,1
11.54975,12.56442,5,1
14.21522,12.068,5,1
16.25294,10.09349,2,0
13.62379,11.20419,4,0
12.61527,10.3553,3,0
11.65745,11.17163,0,1
8.771104,10.94251,3,1
10.9025,14.69996,2,0
11.61652,11.05411,5,1
13.03883,11.24061,0,0
13.70734,11.29599,0,1
11.06231,11.75703,1,0
14.57227,12.29128,0,0
10.43663,11.56376,3,0
13.1377,12.28358,4,0
11.87974,14.16151,0,0
13.33869,10.33806,5,0
9.854939,12.17599,0,0
12.74439,12.84671,2,1
9.285564,10.63081,0,1
11.59055,9.53944,4,1
13.1202,12.3159,5,1
11.40942,10.99734,4,0
13.63869,11.5084,0,1
11.76579,13.61152,4,0
16.26833,14.38156,5,1
8.73591,12.05172,1,1
15.74913,12.16057,5,1
12.18563,11.40151,2,1
14.78633,14.09387,0,1
13.45084,8.860812,0,1
15.73667,12.94093,3,1
11.91194,14.17201,5,1
12.5272,12.7851,4,0
14.3738,13.07674,0,1
12.21672,14.14109,5,1
15.28043,11.42152,0,0
11.53864,10.75491,5,0
9.046618,11.20749,0,0
10.75256,8.843783,1,1
14.9461,10.10509,5,0
13.22677,11.90959,4,1
13.41574,8.835455,5,1
14.35785,12.03667,1,0
12.20415,11.37017,5,1
12.00341,14.56914,4,0
13.58721,11.60537,4,1
8.757473,12.02333,5,1
13.38881,10.9706,0,1
12.57046,12.79843,0,0
15.56334,14.17455,2,0
12.52108,12.03208,4,1
12.40901,11.34986,5,1
12.36903,11.4156,5,1
13.44909,12.60106,5,1
12.03297,11.36891,2,0
9.944605,11.83905,4,0
12.14346,13.6315,1,0
14.40612,13.09598,0,1
15.70642,12.9274,0,1
13.75891,11.14193,2,1
11.44538,10.93066,5,1
13.7965,14.16886,2,0
15.57711,11.30424,4,0
14.99393,10.24519,5,0
14.1129,13.12017,2,0
13.17422,9.835811,0,0
13.26078,12.96562,5,1
10.93261,12.03151,5,1
12.14729,9.951969,0,1
13.95731,13.88316,3,0
11.26415,10.80238,5,1
13.42597,12.96798,5,1
13.51533,12.48783,1,0
14.7689,11.9578,5,0
12.9731,10.95023,2,0
12.42551,11.31754,4,1
12.34805,14.77593,5,1
13.10475,12.3512,0,1
14.77894,13.19966,5,0
9.813148,12.50214,5,1
14.14413,10.57392,3,1
12.03469,14.58466,4,1
16.09884,14.23706,4,0
12.68321,11.28437,0,1
14.69502,10.12684,0,0
8.840331,12.13417,5,1
10.54701,12.32713,4,1
12.24902,14.15759,5,0
11.73556,13.59899,0,1
8.280715,11.56829,3,1
12.38503,13.21802,0,1
16.73377,8.447514,3,0
15.72296,7.17813,3,1
16.08321,14.26035,5,0
14.27252,10.4667,5,0
9.736776,12.35915,5,0
13.28041,12.94127,2,0
16.06733,9.970328,3,1
14.35376,10.35223,0,1
13.40536,10.94129,1,0
14.51969,9.029811,4,0
14.57164,11.38928,3,1
13.71177,13.9442,0,0
16.23636,14.1988,3,1
16.25586,14.41581,0,0
12.80755,14.28284,4,1
13.3605,11.94751,5,1
11.17751,8.616005,5,0
11.64155,12.17337,2,1
14.73854,11.93963,2,0
9.423313,10.79384,5,0
9.466473,10.73907,5,1
15.71121,11.60836,5,0
14.26207,12.49088,5,0
14.18834,13.43268,2,0
11.48419,10.41928,0,0
15.02863,10.36174,5,0
13.08718,12.37853,0,1
10.95782,12.04313,4,0
11.939,14.17458,1,1
13.48189,8.887023,5,1
14.06296,13.09025,0,1
10.94726,16.4859,0,0
14.20514,9.438095,1,0
10.38407,11.159,0,1
15.60473,11.31529,0,1
11.27275,11.46122,1,0
13.02248,9.609664,3,1
13.57891,13.14179,4,0
11.07647,11.64163,2,1
14.5969,11.4039,1,1
15.24637,8.629816,1,1
13.36475,10.36409,4,1
16.14358,10.90531,2,0
14.299,10.43223,5,1
16.41171,14.39729,5,0
12.59053,14.97835,5,0
13.25468,10.81906,0,0
10.99315,12.06159,0,0
10.10162,10.64977,0,0
15.62137,12.55621,4,0
14.21592,13.44473,0,0
13.36865,12.51622,5,1
10.77831,11.64841,5,1
13.17832,10.61175,5,0
13.80602,12.6384,2,0
11.42396,10.96806,0,1
12.91849,9.794238,4,0
13.60765,11.07225,5,0
13.33782,14.33142,4,1
12.16919,11.43683,4,0
14.36735,10.32597,4,1
8.863929,12.10775,4,1
15.54189,14.20994,2,0
14.3156,10.40692,3,0
10.02774,11.28289,0,1
13.20859,14.26238,4,1
10.48503,12.45631,5,0
9.53302,10.64486,0,0
10.43369,11.19426,5,1
10.92631,14.62447,4,0
13.3186,11.02381,0,0
12.6148,10.95197,1,1
13.08049,14.20134,4,1
11.64594,10.45675,5,0
13.56385,10.07179,2,0
13.37551,13.06693,5,1
13.7367,11.13027,5,0
10.68826,12.45906,3,1
12.18764,14.13755,5,0
13.96921,13.32231,3,1
14.77023,9.210511,5,0
15.08261,10.12219,1,0
16.23659,9.914474,1,0
15.31356,11.4458,0,0
12.54972,11.07519,5,1
14.65652,11.439,5,1
12.53218,11.10452,0,0
10.91304,14.67075,5,0
15.67918,12.91381,0,0
11.65278,12.62286,3,0
9.501461,11.54471,1,1
13.26943,14.79979,0,0
13.61611,15.32844,3,0
13.43057,10.2633,4,0
13.48013,12.53947,3,1
11.07184,11.10491,3,0
12.92878,10.93291,0,1
12.84456,16.01885,5,1
15.31608,9.794086,5,1
12.78222,11.34187,5,0
9.207745,11.08172,0,0
14.37433,12.00336,4,0
15.58141,10.92052,0,0
10.40739,11.17765,3,0
12.98045,10.66068,0,0
13.24918,11.87218,2,0
10.96288,9.745629,4,1
13.51754,11.0086,2,1
9.582069,10.58299,0,1
14.53736,10.6277,4,0
12.51176,11.1419,0,1
10.71447,12.47066,2,0
13.3154,12.87661,5,1
9.378991,10.9628,5,1
13.37906,11.91917,0,1
13.52166,11.13973,3,0
13.49601,11.03899,5,0
13.63715,9.099265,4,0
14.26445,15.6235,4,1
9.556584,10.61644,5,0
14.07245,15.51041,0,0
12.94471,13.7879,4,0
15.41332,13.8084,5,1
13.78938,12.6617,4,1
11.41806,9.855504,5,0
12.39045,11.3782,5,0
12.74481,11.31843,0,1
13.58522,11.48222,5,0
14.08854,13.10222,4,1
15.06661,10.14866,2,1
15.27804,13.55018,0,1
14.67613,10.15019,4,1
13.37922,12.48901,5,1
12.27691,11.91081,0,1
14.33308,10.37359,2,0
