statename,rank,hs6,abbrevation,val2015,val2016,val2017,val2018
Alabama,22,440710,"CONIFEROUS WOOD SAWN, SLICED ETC, OVER 6 MM THICK",125.28,121.62,138.15,120.95
Alabama,23,722540,"FLT-RLD OTH ALLOY STL 600MM OM W, HT-RLD NT COILS",68.69,59.96,131.22,116.71
Alabama,24,293090,ORGANO-SULFUR COMPOUNDS NESOI,137.83,126.58,86.9,107.72
Alabama,25,400510,"RUB, UNVULCANIZED, COMPOUND W/ CARBON BLK/SILICA",83.93,84.09,93.35,98.47
Alaska,0,0,World,4620.07,4350.28,4942.47,4773.11
Alaska,0,25,Top 25,3927.25,3910.3,4669.44,4527.51
Alaska,1,260800,ZINC ORES AND CONCENTRATES,887.19,846.4,1230.94,1202.53
Alaska,2,30499,"FISH MEAT, FROZEN, NESOI",374.36,398.55,384.78,415.94
Alaska,3,260700,LEAD ORES AND CONCENTRATES,327.5,382.91,431.27,356.28
Alaska,4,30389,"FISH, FROZEN, NESOI",246.01,254.99,295.03,322.36
Alaska,5,30475,"ALASKA POLLOCK FILLETS, FROZEN",298.85,294.62,265.17,316.21
Alaska,6,30391,"LIVERS, ROES AND MILT, FROZEN",0,0,290.7,273.07
Alaska,7,30311,"SOCKEYE SALMON, FROZEN",134.94,162.28,180.58,234.64
Alaska,8,30363,"COD, FROZEN",267.49,251.52,243.73,202.78
Alaska,9,30312,"PACIFIC SALMON, FROZEN, NESOI",281.52,137.95,315.32,159.26
Alaska,10,271019,PETROL OIL BITUM MINERA,162.51,149.75,204.73,156.75
Alaska,11,261690,"PRECIOUS METAL ORES & CONCENTRATES, EXCEPT SILVER",154.12,148,131.19,144.39
Alaska,12,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINERALS,58.18,146.75,86.03,127.96
Alaska,13,30339,"FLAT FISH NESOI EXCEPT FILLETS, LIVERS,  ROES, FRZ",139.07,149.23,149.19,126.83
Alaska,14,230120,FLOUR MEAL & PELLET OF FISH CRUSTACEANS ETC INEDIB,100.3,96.44,97.6,97.44
Alaska,15,30367,"ALASKA POLLOCK, FROZEN",98.67,91.2,99.14,88.02
Alaska,16,440320,"CONIFEROUS WOOD IN THE ROUGH, NOT TREATED",90.29,92.72,70.37,59.69
Alaska,17,30614,"CRABS, INCLUDING IN SHELL, FROZEN",101.53,65.92,54.98,51.92
Alaska,18,260300,COPPER ORES AND CONCENTRATES,98.97,145.74,1.07,42.93
Alaska,19,30481,"PACIFIC, ATLANTIC AND DANUBE SALMON",10.1,16.97,29.52,30.84
Alaska,20,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",46.81,28.28,60.16,25.36
Alaska,21,880390,PARTS OF NON-POWERED & POWERED AIRCRAFT ETC,0,0,0.01,23.46
Alaska,22,30351,"HERRINGS, FROZEN",24.43,22.61,22.4,19.33
Alaska,23,150420,"FISH FATS & OILS (NOT LIVER), FRACT, NOT MODIFIED",11.82,11.69,13.15,17.87
Alaska,24,980320,"EXPORTS OF MILITARY EQUIPMENT, NOT IDENTIFIED",0.34,6.57,3.86,16.4
Alaska,25,30494,"ALASKA POLLOCK, FROZEN, EXCEPT FILLETS",12.24,9.2,8.53,15.25
Arizona,0,0,World,22654.21,22003.21,20916.89,22388.34
Arizona,0,25,Top 25,11272.27,10047.21,9652.53,10637.44
Arizona,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",2968.83,2257.02,2170.15,2511.22
Arizona,2,260300,COPPER ORES AND CONCENTRATES,2502.45,1725.54,1054.32,1022.49
Arizona,3,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",693.52,814.04,849.23,936.09
Arizona,4,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",1051.37,825.99,896.13,933.73
Arizona,5,930690,BOMB MINES OT AMMNTION,353.07,546.11,697.86,631.09
Arizona,6,851762,MACH FOR RECP/CONVR/TRANS/R,331.7,381.02,382.28,499.91
Arizona,7,853890,PT F ELECT APPR F ELECT CIRCT; F ELCT,404.9,428.4,454.39,497.47
Arizona,8,854150,SEMICNDCTR DVICE EX PHOTOSENSITIVE/PHOTOVOLTAIC CL,427.62,428.02,418.13,451.77
Arizona,9,853669,ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000 V,208.97,235.12,373.12,411.15
Arizona,10,853710,CONTROLS ETC W ELECT APPR,192.74,216.63,198.37,230.81
Arizona,11,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT, ETC",122.95,127.72,193.16,218.95
Arizona,12,261390,MOLYBDENUM ORES AND CONCENTRATES NOT ROASTED,49.84,68.97,87.12,202.8
Arizona,13,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL NESO,124.47,160.5,172.89,183.91
Arizona,14,853690,ELECT APPR F PRTCT TO ELECT CIR,157.73,168.91,188.44,183.21
Arizona,15,854449,INSULATED ELECTRIC CONDUCTORS =< 80 V NESOI,122.7,120.41,146.02,181.17
Arizona,16,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI",256.71,156.32,162.64,180.09
Arizona,17,271121,"NATURAL GAS, GASEOUS",373.16,391.37,213.71,179.52
Arizona,18,903289,"AUTO REGULATING INS & APPR EX THROSTAT,MNSTAT, ET",138.85,138.31,139.02,164.65
Arizona,19,392690,"ARTICLES OF PLASTICS, NESOI",175.05,158.17,153.22,160.65
Arizona,20,520100,"COTTON, NOT CARDED OR COMBED",132.25,107.11,144.69,155.66
Arizona,21,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",140.84,140.75,98.26,154.79
Arizona,22,380891,"INSECTICIDES, EXC THOSE SPECIFIED IN SUBHEAD. NT 1",77.1,83.8,86.04,145.1
Arizona,23,902190,OTH ARTIFICAL PTS OF THE BODY & PTS & ACCESSORIES,78.99,173.13,164.76,144.55
Arizona,24,854232,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",88.11,99.26,99.2,128.79
Arizona,25,381800,"CHEM ELEM DOPED, USED IN ELECT",98.36,94.59,109.41,127.86
Arkansas,0,0,World,5870.91,5721.72,6234.39,6466.44
Arkansas,0,25,Top 25,3008.12,3096.11,3468.07,3682.87
Arkansas,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",791.25,1082.79,1502.71,994.96
Arkansas,2,930690,BOMB MINES OT AMMNTION,97.88,168.69,78.96,463.21
Arkansas,3,100630,"RICE, SEMI- OR WHOLLY MILLED, POLISHED ETC OR NOT",165.15,152.29,222.34,228.99
Arkansas,4,481151,"PPR/PBRD,CTD/IMPG/CVR W/PLAST,BLEACH,WT>150G/M2",179.51,161.51,189.65,211.66
Arkansas,5,470321,"CHEMICAL WOODPULP, SODA ETC. N DIS S BL & BL CONIF",44.64,31.42,110.88,198.24
Arkansas,6,40711,"EGGS OF CHICKENS, FERTILIZED FOR INCUBATION",136.31,174.28,162.42,172.01
Arkansas,7,20714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), FROZEN",120.55,149.9,190.28,170.56
Arkansas,8,520100,"COTTON, NOT CARDED OR COMBED",79.16,54.21,63.08,115.07
Arkansas,9,290399,"HALOGENATED DERIV OF AROMATIC HYDROCARBONS, NESOI",71.62,89.7,16.92,102.94
Arkansas,10,290819,"DERIV. CONT. ONLY HALOGEN SUBSTIT. & SALTS, NESOI",41.46,59.52,51.23,88.21
Arkansas,11,853669,ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000 V,428.7,185.6,94.53,84.46
Arkansas,12,390390,"POLYMERS OF STYRENE NESOI, IN PRIMARY FORMS",80.8,113.49,71.57,83.14
Arkansas,13,293090,ORGANO-SULFUR COMPOUNDS NESOI,134.36,110.2,84.93,77.58
Arkansas,14,400821,"PLATES OF VULCANIZED RUB, OF NONCELLULAR RUBBER",49.33,57.07,71.65,74.59
Arkansas,15,20713,CHICKEN CUTS & EDIBLE OFFAL (INCL LIVER) FRSH/CHLD,54.63,59.72,66.56,74.45
Arkansas,16,842920,"GRADERS AND LEVELERS, SELF-PROPELLED",83.13,14.2,18.85,73.35
Arkansas,17,210690,FOOD PREPARATIONS NESOI,48.73,66.49,54.69,66.78
Arkansas,18,850152,"AC MOTORS,MULTI-PHASE;OUTPUT > 750W NOT OVER 75 KW",74.77,59.75,60.31,62.4
Arkansas,19,100610,RICE IN THE HUSK (PADDY OR ROUGH),56.95,67.85,61.96,56.84
Arkansas,20,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL NESO,79.69,59.79,59.39,50.87
Arkansas,21,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,53.66,47.53,55.83,48.97
Arkansas,22,841582,AIR CONDITIONING MACH ETC INCORP REFRIG UNIT NESOI,49.22,47.67,45.07,48.72
Arkansas,23,721070,"FR IR/NAS 600MM W OM, PAINTED, VARNISHED, PLASTIC",5.84,9.28,36.9,47.51
Arkansas,24,220870,LIQUEURS AND CORDIALS,35.18,36.51,50.87,47.29
Arkansas,25,390422,"POLYMERS NESOI OF POLYVINYL CHLORIDE, PLASTICIZED",45.59,36.65,46.49,40.08
California,0,0,World,165360.38,163438.92,172012.42,178404.77
California,0,25,Top 25,50865.37,51548.58,60132.58,63578.85
California,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",6784.52,7346.27,7167,7255.46
California,2,710239,"DIAMONDS, NONINDUSTRIAL, WORKED",4582.34,5514.5,4897.51,5482.3
California,3,848620,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,3260.73,3323.92,4999.27,4620.91
California,4,851762,MACH FOR RECP/CONVR/TRANS/R,6289.05,6967.5,4468.11,4613
California,5,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",1995.43,1930.31,3677.73,3363.31
California,6,80212,"ALMONDS, FRESH OR DRIED, SHELLED",3730.36,3204.59,3234.11,3342.9
California,7,847330,PARTS & ACCESSORIES FOR ADP M,2096.53,1924.45,2504.84,3184.68
California,8,870380,"MOTOR VEHICLES WITH ONLY ELECTRIC MOTOR, NESOI",0,0,2953.05,2957.21
California,9,271019,PETROL OIL BITUM MINERA,2980.17,1614.52,2457.23,2839.57
California,10,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT, ETC",1304.58,1509.07,1965.01,2578.64
California,11,382200,"COMPOSITE DIAGNOSTIC/LAB REAGENTS, EXC PHARMACEUT",1701.97,1981.37,2029.72,2437.42
California,12,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, NESOI",1982.44,2132.12,2169.68,2301.98
California,13,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",184.31,265.92,2130.52,1965.94
California,14,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS NTWK,2502.85,2578.17,1954.73,1751.52
California,15,870323,PASS VEH SPK-IG INT COM R,1805.86,1851.49,1862.5,1714.83
California,16,711319,"JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS METAL",811.88,920.96,834.45,1600.99
California,17,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",1451.95,1309.56,1304.81,1458.93
California,18,80251,"PISTACHIOS, IN SHELL, FRESH OR DRIED",700.5,1013.32,1336.1,1412.33
California,19,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",1158.38,1029.27,1267.32,1410.46
California,20,720449,FERROUS WASTE & SCRAP NESOI,857.8,737.26,1076.8,1403.22
California,21,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I",1205.8,1144.39,1282.26,1312.07
California,22,847130,PORT DIGTL AUTOMATIC DA,1583.16,1266.63,1269.08,1299.51
California,23,901839,"MED NEEDLES. NESOI, CATHERERS ETC AND PARTS ETC",875.47,877.93,917.14,1135.09
California,24,300212,ANTISERA AND OTHER BLOOD FRACTIONS,0,0,1287.65,1098.93
California,25,210690,FOOD PREPARATIONS NESOI,1019.28,1105.06,1085.96,1037.67
Colorado,0,0,World,7949.65,7580.72,8054.12,8317.25
Colorado,0,25,Top 25,2866.82,2959.71,3202.75,3448.83
Colorado,1,20130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",345.78,387.67,507.2,475.69
Colorado,2,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",373.42,389.84,470.99,397.51
Colorado,3,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, NESOI",289.7,305.23,294.43,310.52
Colorado,4,20230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",217,200.21,193.86,276.38
Colorado,5,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",170.89,186.1,167.17,264.3
Colorado,6,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",100.96,111.25,152.13,139.92
Colorado,7,902110,"ORTHOPEDIC OR FRACTRE APPLIANCES, PARTS & ACCESSOR",135.82,163.11,127.38,132.02
Colorado,8,20220,"MEAT, BOVINE CUTS WITH BONE IN, FROZEN",83.36,86.55,92.97,130.38
Colorado,9,261390,MOLYBDENUM ORES AND CONCENTRATES NOT ROASTED,120.02,57.92,80.44,121.3
Colorado,10,410150,"WHOLE HIDES & SKINS, OF A WT >16KG BOVINE/EQUINE",170.81,160.53,157.36,118.47
Colorado,11,20319,"MEAT OF SWINE, NESOI, FRESH OR CHILLED",54.77,129.12,114.95,104.16
Colorado,12,902750,INSTRUMENTS ETC USING OPTICAL RADIATIONS NESOI,84.17,87.94,77.01,96.9
Colorado,13,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL NESO,68.01,76.82,86.65,91.81
Colorado,14,370110,"X-RAY PLATES & FLAT FILM, SENS, UNEX",157.58,129.52,87.23,89.69
Colorado,15,730210,RAILWAY OR TRAMWAY RAILS OF IRON OR STEEL,33,47.9,53.13,80.92
Colorado,16,902680,"INST MEASURE/CHECKING VARIABLE OF LIQ/GASES, NESOI",42.66,77.68,65.75,70.66
Colorado,17,760612,"ALUMINUM ALLOY RECT PLATES ETC, OVER .2 MM THICK",30.45,28.82,30.57,67.44
Colorado,18,392690,"ARTICLES OF PLASTICS, NESOI",49.45,38.49,65.45,64.77
Colorado,19,851762,MACH FOR RECP/CONVR/TRANS/R,63.33,59.92,68.48,64.63
Colorado,20,270112,"BITUMINOUS COAL, NOT AGGLOMERATED",0,0,4.81,63.35
Colorado,21,370210,"X-RAY FILM IN ROLLS, SENS, UNEX, NO PAPER ETC",126.83,79.7,69.7,62.22
Colorado,22,20312,"MEAT, SWINE, HAMS, SHLDRS, BONE IN, FRSH OR CHLLD",2.89,49.22,108.37,59.28
Colorado,23,902690,"PTS, INST & APPRTS MEAS",111.6,44.89,49.86,56.71
Colorado,24,110710,"MALT, NOT ROASTED",2.71,2.41,24.3,55.12
Colorado,25,844399,"PTS & ACC OF PRINTERS, COPIERS AND FAX MACH, NESOI",31.59,58.87,52.57,54.68
Connecticut,0,0,World,15241.76,14393.83,14783.75,17399.91
Connecticut,0,25,Top 25,8173.16,7577.24,7838.75,9889
Connecticut,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",6503.67,5866.58,5567.34,7004.89
Connecticut,2,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT, ETC",279.43,297.64,351.68,458.98
Connecticut,3,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI",2.82,4.28,4.08,244.36
Connecticut,4,841191,TURBOJET AND TURBOPROLLER PARTS,115.13,131.05,173.05,182.38
Connecticut,5,901320,"LASERS, OTHER THAN LASER DIODES",105.4,88.28,135.43,154.97
Connecticut,6,902780,PHY CHEM INS/APPR;MEAS VSCSTY & HEAT NESOI,111.9,121.81,145.42,146.59
Connecticut,7,283620,DISODIUM CARBONATE,124.6,141.95,135.82,143.08
Connecticut,8,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL NESO,99.98,109.62,114.26,123.02
Connecticut,9,841869,"REFRIGERATING/FREEZING EQUIPMENT, NESOI",19.23,28.15,42.49,108.4
Connecticut,10,902214,"APPTS BASE ON X-RAY, MEDICAL,SURGICAL,",77.28,84.07,95.53,105.79
Connecticut,11,841199,GAS TURBINE PARTS NESOI,64.36,79.27,86.35,96.76
Connecticut,12,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",83.78,42.65,64.45,96.35
Connecticut,13,382499,"PRODUCTS AND RESIDUALS OF CHEMICAL INDUSTRY, NESOI",0,0,70.9,95.43
Connecticut,14,841182,"GAS TURBINES OF A POWER EXCEEDING 5,000 KW",106.92,63.67,137.33,91.79
Connecticut,15,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, NESOI",79.71,70.04,67.7,85.52
Connecticut,16,853710,CONTROLS ETC W ELECT APPR,92.49,81.98,82.92,85.23
Connecticut,17,903180,"MEAS & CHECKNG INSTRUMENT, APPLIANCES & MACH NESOI",55.06,56.75,64.42,83.53
Connecticut,18,271019,PETROL OIL BITUM MINERA,105.5,59.15,78.05,80.05
Connecticut,19,848620,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,18.64,37.54,98.31,78.96
Connecticut,20,845611,MACHINE TOOLS FOR REMOVE MAT OPERATED BY LASER,0,0,70.26,78.18
Connecticut,21,210690,FOOD PREPARATIONS NESOI,37.72,51.08,57.63,76.9
Connecticut,22,903190,"PTS, OF MACH NESOI IN THIS CHAP,& P",9.63,22.23,54.49,71.45
Connecticut,23,720449,FERROUS WASTE & SCRAP NESOI,22.77,41.21,34.91,67.36
Connecticut,24,841480,"AIR/GAS PUMPS, COMPRESSORS AND FANS ETC, NESOI",20.56,48.82,51.77,66.73
Connecticut,25,850110,ELECTRIC MOTORS OF AN OUTPUT NOT EXCEEDING 37.5 W,36.59,49.42,54.14,62.29
Delaware,0,0,World,5407.66,4517.47,4565.61,4703.21
Delaware,0,25,Top 25,3938.61,3115.55,2963.17,3256.32
Delaware,1,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI",1299.81,963.55,731.89,946.5
Delaware,2,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,795.44,587.69,546.04,501.75
Delaware,3,902780,PHY CHEM INS/APPR;MEAS VSCSTY & HEAT NESOI,189.18,191.53,257.15,251.21
Delaware,4,271019,PETROL OIL BITUM MINERA,277.2,79.08,103.64,218.81
Delaware,5,870431,"MTR VEH TRANS GDS SPK IG IN C P ENG, GVW NOV 5 MT",288.3,206.17,192.33,171.46
Delaware,6,80390,"BANANAS, FRESH OR DRIED, NESOI",138.01,137.14,139.31,134.8
Delaware,7,392690,"ARTICLES OF PLASTICS, NESOI",85.22,94.92,122.59,132.45
Delaware,8,846691,PARTS FOR MACHINES OF HEADI,82.17,94.66,110.62,123.81
Delaware,9,842199,FILTER/PURIFY MACHINE & APPARATUS PARTS,42.05,56.8,71.01,75.01
Delaware,10,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",139.66,147.16,71.19,63.32
Delaware,11,20714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), FROZEN",54.51,54.61,77.02,62.29
Delaware,12,870323,PASS VEH SPK-IG INT COM R,109.56,119.46,89.19,61.89
Delaware,13,850239,"GENERATING SETS, ELECTRIC, NESOI",7.1,0.02,1.33,59.51
Delaware,14,271012,"LT OILS, PREPS GT=70% PETRO",1.31,1.47,57.08,58.28
Delaware,15,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS NTWK,181.7,85.75,75.87,50.83
Delaware,16,391290,"CELLULOSE & ITS CHEMICAL DERIV, NESOI, PRIMARY FMS",4.11,59.12,53.5,46.64
Delaware,17,271311,"PETROLEUM COKE, NOT CALCINED",18.85,28.36,40.12,44.79
Delaware,18,902790,"PTS OF INST, PHYS/CHEM ANALYSIS ETC, NESOI",46.68,38.51,40.67,41.64
Delaware,19,390461,"POLYTETRAFLUOROETHYLENE (PTFE), PR FMS",42.71,38.85,43.14,38.18
Delaware,20,870899,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESOI",30.47,29.69,31.25,35.43
Delaware,21,390690,"ACRYLIC POLYMERS NESOI, IN PRIMARY FORMS",23.27,16.81,23.96,29.05
Delaware,22,270799,OILS & PRODUCTS NESOI,10.65,0,0,28.3
Delaware,23,550319,STPL FIB NYLON/POLYAMIDE NT CARD/COMBD/PRCSD NESOI,22.11,23.02,24.31,28.18
Delaware,24,340399,"LUBRICATING PREPS NOT CONT PETROLEUM OILS, NESOI",10.39,29.01,32.24,26.3
Delaware,25,902720,CHROMATOGRAPHS AND ELECTROPHORESIS INSTRUMENTS,38.14,32.13,27.72,25.9
District of Columbia,0,0,World,1088.01,1330.67,1483.08,2726.32
District of Columbia,0,25,Top 25,707.28,1015.44,1238,2507
District of Columbia,1,930690,BOMB MINES OT AMMNTION,66,320.79,336.41,379.02
District of Columbia,2,854390,"PT ELEC MACH & APPR W INDIVIDUAL FUNCTIONS, NESOI",359.78,307.32,224.37,361.24
District of Columbia,3,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",136.55,176.43,202.87,286.67
District of Columbia,4,980320,"EXPORTS OF MILITARY EQUIPMENT, NOT IDENTIFIED",29.19,20.32,31.35,270.5
District of Columbia,5,870490,"TRUCKS, NESOI",1.6,34.66,18.88,266.94
District of Columbia,6,843049,"BORING OR SINKING MACH NESOI, NOT SELF-PROPELLED",0,0,0,169.88
District of Columbia,7,970110,"PAINTINGS, DRAWING AND PASTELS BY HAND",5.99,13.64,15.9,160.71
District of Columbia,8,852610,RADAR APPARATUS,0.07,0.52,186.81,149.79
District of Columbia,9,871000,"TANK & OT ARMORED FIGHT VEH, MOTORIZED; AND PARTS",12.45,90.24,49.75,126.69
District of Columbia,10,930120,"RKT LAUNCH.,FLAMTHROW, & SIM. PROJECTORS(MILITARY)",32.89,21.35,112.58,122.01
District of Columbia,11,880240,"AIRPLANE & OT A/C, UNLADEN WEIGHT > 15,000 KG",0,0,0,65.02
District of Columbia,12,852910,ANTENNAS AND ANTENNA REFLECTORS AND PARTS,1.61,1.23,6.22,33.17
District of Columbia,13,970300,"ORIGINAL SCULPTURES AND STATUARY, IN ANY MATERIAL",1.07,0.2,1.85,16.02
District of Columbia,14,871640,"TRAILERS AND SEMI-TRAILERS, NESOI",1.44,0.03,3.6,15.2
District of Columbia,15,903289,"AUTO REGULATING INS & APPR EX THROSTAT,MNSTAT, ET",0.94,0.03,0.04,12.67
District of Columbia,16,841112,TURBOJETS OF A THRUST EXCEEDING 25 KN,0,0,0,9.92
District of Columbia,17,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",31.57,11.58,12.94,9.41
District of Columbia,18,870590,"SPECIAL PURPOSE VEHICLES, NESOI",0.48,0.14,0.35,9.08
District of Columbia,19,854370,"ELEC MACH AND APP, HAVING INDIV FUNCTIONS, NESOI",2,6.84,17.6,7.08
District of Columbia,20,930591,PARTS & ACCESSOR. OF MILITARY WEAPONS OF HEAD 9301,0.59,0.43,0.27,6.82
District of Columbia,21,870195,"TRACTORS, EXCEEDING 130 KW",0,0,0,6.8
District of Columbia,22,870899,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESOI",4.5,0.5,0.98,6.79
District of Columbia,23,890690,"VESSELS,(INCLUD LIFEBOATS,OTHER THAN ROW BT),NESOI",5.33,2.86,3.5,5.8
District of Columbia,24,851762,MACH FOR RECP/CONVR/TRANS/R,8.34,5.95,11.38,4.99
District of Columbia,25,970500,COLLECTORS ITEMS OF BOTANIC. HISTOR ETC I,4.89,0.39,0.36,4.79
Florida,0,0,World,53903.08,52031.71,54914.29,57240.94
Florida,0,25,Top 25,19757.08,20499.18,22159.35,23086.15
Florida,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",4746.16,5420.03,6325.87,6581.97
Florida,2,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS NTWK,2486.75,2484.89,3027.38,2898.71
Florida,3,710812,"GOLD, NONMONETARY, UNWROUGHT NESOI",1736.22,1803.33,2218.56,1989.29
Florida,4,851762,MACH FOR RECP/CONVR/TRANS/R,954.1,950.19,934.94,1014.08
Florida,5,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",692.5,769.94,951.95,886.89
Florida,6,847130,PORT DIGTL AUTOMATIC DA,762.05,801.28,885.19,790.66
Florida,7,390810,"POLYAMIDE-6,-11,-12,-6,6,-6,9,-6,10 OR -6,12",408.54,433.74,531.45,697.84
Florida,8,847330,PARTS & ACCESSORIES FOR ADP M,610.72,641.64,604.71,656.01
Florida,9,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, NESOI",518.41,572.8,593.79,649.45
Florida,10,330300,PERFUMES AND TOILET WATERS,530.13,543.63,618.53,644.68
Florida,11,310559,"FERTILIZERS CONTAIN NITROGEN AND PHOSPHORUS, NESOI",468.43,464.28,554.07,635.5
Florida,12,310540,AMMONIUM DIHYDROGENORTHOPHOSPHA,788.9,684.96,557.65,604.08
Florida,13,841199,GAS TURBINE PARTS NESOI,579.97,685.33,481.9,510.18
Florida,14,870323,PASS VEH SPK-IG INT COM R,733.69,600.32,433.33,498.38
Florida,15,711319,"JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS METAL",509.14,823.24,430.47,456.9
